,Time (yrs),R (AU),Vr (m/s),Vt (m/s),m (kg),theta (rad),T radial (N),T tangential (N)
0,0.0,1.0,0.0,29821.692328460056,2500.0,0.0,0.21281934978471476,0.15035193576048458
1,0.0002955939655724116,1.0000000228681474,0.7080479921990608,29822.05823323482,2499.9000883107783,0.0018535375561683672,0.16784058913718544,0.051576847993648506
2,0.00099079378901455,1.0000002182656014,1.883083569653632,29821.90579811877,2499.7435131372617,0.006212847206725985,0.11111965605157792,-0.060401986909043345
3,0.00208307757785547,1.0000008161883258,3.3057372969743812,29820.846479418982,2499.522738661219,0.013061949680933046,0.10260305418183044,-0.0802848678206676
4,0.0035718784982499163,1.0000021573082316,5.291518324831123,29819.11212106158,2499.1892190641483,0.02239695088948999,0.11346237834314221,-0.10479561360680115
5,0.005456524215369822,1.0000047972555928,8.0627286331479,29816.218078771308,2498.683655243342,0.034213017047376705,0.12346274723924819,-0.1242555270811769
6,0.0077361782677372835,1.0000094505194,11.305917169343843,29812.525237773072,2498.058405045742,0.0485040001481975,0.11891000919938448,-0.1272527561060903
7,0.010409832446144122,1.0000169231195588,15.469182295422403,29807.237861988437,2497.2012378188697,0.06526239894259354,0.15602390079179024,-0.178220940694978
8,0.013476305446902422,1.0000287949449778,21.451074172652188,29799.04109863298,2495.9027072634676,0.08447843180114682,0.17879814435003943,-0.21588625556094804
9,0.016934242858858056,1.0000467613634099,27.7753139223729,29789.23546024654,2494.4023975773202,0.10614058734372037,0.16249414890076042,-0.20487760315116982
10,0.02078211756879913,1.0000716267855816,33.47160718899621,29778.927483776402,2492.873992143086,0.13023682491299218,0.1451822765770533,-0.18853497562083885
11,0.025018230356264926,1.0001037230110312,38.400801386880836,29768.204301491758,2491.3326156757735,0.15675419425334783,0.13330780008628965,-0.1796775565186226
12,0.029640710607496987,1.0001432194424247,42.71106127709091,29756.226284148044,2489.6681329549724,0.18567818237151462,0.12765337122410575,-0.18870745155227378
13,0.03464751712340584,1.0001900864918654,46.041525645056865,29743.243705023888,2487.922385116906,0.21699234980145846,0.1131578699966285,-0.17208755759934408
14,0.04003643901135478,1.00024337283413,47.72616811785789,29730.424863367025,2486.2466560693397,0.25068012414652674,0.10012130202704193,-0.16313221399494998
15,0.04580509665608825,1.0003016643888538,48.23430626631949,29716.193198198296,2484.4318052708013,0.2867235010914373,0.09991792834171731,-0.1778235553666676
16,0.05195094276737999,1.0003636734631052,47.439227626695796,29700.448509591824,2482.4479087662976,0.3251017723255494,0.09209969592372114,-0.17533358100721808
17,0.058471263502946305,1.0004270337073378,44.70167912354748,29684.217666579938,2480.4314910473036,0.3657940165763865,0.08597327067566354,-0.17403935780777094
18,0.06536317966560833,1.0004886377316515,39.99419960994543,29666.703482488665,2478.2646837977227,0.4087782926483629,0.07996032246943538,-0.18276064425185046
19,0.07262364797389223,1.0005445241415796,32.84984170510652,29648.288120678724,2475.993189515365,0.4540309285521694,0.0729331086695514,-0.17794879037833608
20,0.0802494624053427,1.0005895880284825,22.947213672840476,29629.84058126569,2473.6961292262135,0.5015287496985519,0.06502383808054867,-0.1769804694476378
21,0.08823725561186405,1.0006176987915911,10.15594679559287,29610.41223823307,2471.2438468308555,0.5512477047487759,0.06135630492684558,-0.1879795117291737
22,0.09658350040640336,1.0006219604405922,-5.80166791084738,29590.2654409279,2468.630837084326,0.6031619538658335,0.052862775055792476,-0.1841726810478914
23,0.10528451132028646,1.0005936824369503,-25.595764045677505,29571.035225068204,2466.0455925556535,0.6572474474506523,0.04564850979567408,-0.1802263184550187
24,0.11433644623049466,1.0005230759032613,-49.113701671605035,29551.849688087426,2463.32678594026,0.7134806141732682,0.03855106790677647,-0.184389484867306
25,0.12373530805614837,1.000399067851066,-76.94549477753158,29534.153484289327,2460.628226300204,0.7718377232707039,0.029547232260349037,-0.1688442470654803
26,0.13347694652343925,1.0002090857241352,-109.09342993221105,29519.793714189585,2458.116430876652,0.8322996131168595,0.02033640548775177,-0.14973156197297344
27,0.14355705999822385,0.9999397438725782,-145.51758136015107,29509.848993039985,2455.8860191176195,0.8948506938531742,0.012765564056146391,-0.1297307059509014
