,Time (yrs),R (AU),Vr (m/s),Vt (m/s),m (kg),theta (rad),T radial (N),T tangential (N)
0,0.0,1.0,0.0,33285.79394359781,2500.0,0.0,0.27314454466356264,-0.12606253313717294
1,0.0008888967752764434,1.0000040503621512,43.09496648623095,33283.90205004479,2499.6357377668687,0.006221122066391621,0.1424548927236728,-0.18255542047483078
2,0.0029783089324348813,1.000044607251108,141.10896364186965,33277.50477392684,2498.949945712166,0.02084219064742299,0.04787090169233339,-0.16782794492235775
3,0.006257859127499197,1.000194358995006,293.19163978357113,33269.165619372696,2498.4059488913153,0.04378407113205091,0.0482733161100187,-0.002803577198112642
4,0.010721462094821825,1.00056655568812,499.72662740372954,33259.061159558325,2498.0703182526154,0.07499288577422619,0.0334533301164442,0.05995477798090496
5,0.01636113676907651,1.0013128117891539,758.6275872604025,33239.54210368534,2497.284128396278,0.11438586092555329,0.024642723369868794,0.09109349374392668
6,0.023166843187422764,1.0026214747568634,1070.2401878159978,33205.09141624633,2496.1703548050004,0.16183743475323756,0.037423650244602785,0.11016830811703421
7,0.031126476289153594,1.0047156483198787,1431.4722361428744,33147.34828084811,2494.603726200305,0.21716512838247465,0.030576219203451584,0.11926856966731277
8,0.04022588204181214,1.0078453565651158,1839.1642293000832,33058.24854083646,2492.827693458895,0.280113641465983,0.0454355450753692,0.11826908331994414
9,0.05044888099570559,1.0122834625714314,2288.142805604401,32928.60924675059,2490.7110551512765,0.35033927277298654,0.045691615298448104,0.12190106212324399
10,0.06177729646950426,1.0183124055708048,2771.471548155809,32751.251151194178,2488.3284430755293,0.42739959793465654,0.06455387901606334,0.11949102859058044
11,0.07419098662778464,1.0262157893027222,3279.847373098166,32516.454062451165,2485.7486581361163,0.510743414192122,0.05917849923932858,0.10293653646651045
12,0.08766788018262817,1.0362542739516274,3799.390851417364,32216.960105661914,2483.4578426362286,0.5997064050949182,0.06266300229627833,0.07788139531952058
13,0.10218401558103454,1.048653962455683,4317.838014564526,31848.707037695367,2481.2648864717803,0.6935213956633519,0.05972977629285262,0.06532969349063537
14,0.11771358357878459,1.0635888461015344,4820.996177198663,31413.725236063518,2479.075131836381,0.7913456207679292,0.07510415893362034,0.05678754897570581
15,0.13422897311216417,1.0811767536751882,5297.910491881502,30913.191033931624,2476.5182441059806,0.8922870586012744,0.08239512351452949,0.04586540062849424
16,0.15170082037995844,1.1014597751949498,5732.467213953385,30352.540537529956,2473.9746205787883,0.9954339060982565,0.09012390896289312,0.028523881822317573
17,0.17009806104545377,1.1244001710971065,6115.252519394326,29737.302979062235,2471.097511472514,1.0998885986461977,0.09529249309080538,0.009954673036975848
