,Time (yrs),R (AU),Vr (m/s),Vt (m/s),m (kg),theta (rad),T radial (N),T tangential (N)
0,0.0,1.0,-3219.526757578905,31100.225651164998,2500.0,0.0,0.17636062193981636,-0.04216517838765948
1,0.00023678728713573733,0.9998398090250393,-3215.4260128274504,31105.144549342014,2499.9766818915127,0.0015486787277342795,-0.010261171206520219,0.004100042579970888
2,0.0007936360326729785,0.9994638277210321,-3207.0012773612734,31117.243713929976,2499.896200871385,0.005192649973256689,-0.15798639454665261,0.09113463724296472
3,0.001668417347852138,0.9988751029929215,-3194.3423853422037,31136.569172108822,2499.6113622161433,0.010922815578890596,-0.16491469807571518,0.07547618111568932
4,0.0028605065485373896,0.9980766139439892,-3176.7920891928616,31162.5080274846,2499.295820516947,0.01874257860131336,-0.1626981738489194,0.07093114975616162
5,0.0043691326698060305,0.9970724537692977,-3154.2618949471325,31195.32275934948,2498.848687822564,0.02865701791278951,-0.16106078740323337,0.07460003264930319
6,0.006193331752731677,0.9958678956341049,-3126.480456731221,31234.81779678189,2498.341225470557,0.040672554835727834,-0.17014570295053652,0.08396894030975545
7,0.008331941056476862,0.994469348823885,-3093.656434360737,31281.260591307466,2497.637628165454,0.05479687730268468,-0.18199322899270834,0.09609374930050894
8,0.010783598362871943,0.9928845357836331,-3054.613250861446,31333.988591315447,2496.911671311851,0.07103878266422889,-0.14895079777354153,0.08511962245550375
9,0.013546742415364502,0.9911231789606461,-3008.188204571884,31392.458022151674,2496.2209285293393,0.08940771102869015,-0.11307504141180981,0.07054050665936384
10,0.016619613758686626,0.9891970822226901,-2953.2349293331476,31455.71201328603,2495.7343695118543,0.1099134725695428,-0.06410075294903048,0.0431699491006953
11,0.02000025579537749,0.9871201269698217,-2890.343796726844,31524.063136752065,2495.2566836255014,0.1325659727718605,-0.08915731231729955,0.0663586306517895
12,0.023686516002398707,0.9849064925368102,-2821.4280272861924,31598.900571021775,2494.4502804863446,0.15737633369702764,-0.12374189133153028,0.10094403764517931
13,0.027676047287192796,0.9825714655141835,-2745.355087108719,31679.72397574435,2493.3366498491805,0.18435638360102455,-0.1390478414056938,0.12534727784459626
14,0.03196630947442739,0.9801327114488483,-2660.925090161653,31765.77436607295,2492.0278947732177,0.21351756789466111,-0.13569050421509624,0.13628021889100803
15,0.036554570919056034,0.9776107859994139,-2566.419296416444,31855.567666901152,2490.6640026525156,0.24487009648053007,-0.11955324695677083,0.1333287230364831
16,0.04143791024306433,0.9750293450035271,-2460.7813957522008,31947.863040792614,2489.364543950758,0.2784220711237375,-0.09552338154055594,0.12048677815289943
17,0.046613218194001375,0.9724151268422021,-2342.983887554267,32041.096476863408,2488.2049703222583,0.3141787476552532,-0.07599009448243217,0.10727416460100442
18,0.05207719962369781,0.9697973207168556,-2213.2581358909542,32135.163207822447,2487.0744621793,0.3521424035427817,-0.06857508887028921,0.11192037321833287
19,0.05782637558568149,0.9672068585290058,-2071.8600463786875,32230.34078375553,2485.750211442975,0.3923130090807859,-0.08117079422873977,0.1503423158735368
20,0.06385708554982679,0.9646755203554638,-1920.004887575139,32329.98827282579,2483.6539620824133,0.4346900419869174,-0.10670505436831514,0.2364672591378787
21,0.0701654897327506,0.962237186634699,-1755.0581173539156,32430.493078396205,2481.126788700883,0.479271845438346,-0.07857450653242438,0.20324301287793514
22,0.07674757154242652,0.959932800063185,-1573.5345824095198,32522.334954531056,2479.2812207945553,0.52604152895467,-0.04406820172066375,0.1458674000037841
23,0.0835991401354294,0.957806486800557,-1377.3779486466524,32608.261715554472,2477.4977145961857,0.5749713944030961,-0.043119753144950035,0.17720419568053375
