# time, state0, state1, state2, state3, state4, control0, control1, 
0.000000000000000000e+00,1.000000000000000000e+00,-7.669715171723794382e-04,9.999724486262706602e-01,2.500000000000000000e+03,0.000000000000000000e+00,-4.774000552165884415e+01,3.270568841132296711e+01
8.676412897979268735e-03,9.999926997396689776e-01,-9.106370831044533886e-04,1.000145040806584618e+00,2.499163369643193619e+03,8.676917956621958000e-03,-3.845710345258133600e+01,5.341192253881789043e+01
2.907090986746840855e-02,9.999710741390177571e-01,-1.208004324724396179e-03,1.000533788064556839e+00,2.497347294881390098e+03,2.907889328471968682e-02,-3.777281335056452605e+01,3.717885311599463449e+01
6.108219892088762037e-02,9.999258205956921275e-01,-1.600173782023470810e-03,1.001046551530242912e+00,2.494937033317577971e+03,6.111714266816211522e-02,-3.150622258654445318e+01,3.591810096897618365e+01
1.046508825232015383e-01,9.998466076279266534e-01,-2.026409298020120583e-03,1.001630656783516704e+00,2.492148304869639560e+03,1.047497098252997139e-01,-3.015575761881863670e+01,2.343670997145027357e+01
1.596990584701698523e-01,9.997234849958805958e-01,-2.408039841929627417e-03,1.002341597618646718e+00,2.489009919112671469e+03,1.599182616784917133e-01,-2.327325046813475851e+01,3.002000177516099200e+01
2.261287279102868197e-01,9.995539697217146191e-01,-2.687411747386337507e-03,1.003234594212349728e+00,2.485425369776077332e+03,2.265577599447558543e-01,-2.474106544383507611e+01,2.455912638977582318e+01
3.038217348238978488e-01,9.993354788534289934e-01,-2.900121204180711697e-03,1.004430543053250080e+00,2.480757821534869436e+03,3.045887180755383339e-01,-2.336357859472684950e+01,3.899214735324876102e+01
3.926399234282609285e-01,9.990762265726635949e-01,-2.915071319886741209e-03,1.006126400009234256e+00,2.474486807377782497e+03,3.939463723196058864e-01,-2.684006213310351185e+01,3.997151782463310354e+01
4.924253680902745955e-01,9.987930827595369321e-01,-2.691043001870464888e-03,1.008416866341804941e+00,2.465923471897891886e+03,4.945573466181620859e-01,-2.742348455144713526e+01,6.232085039569507501e+01
6.030006484426717606e-01,9.985349862376677876e-01,-1.877413467908906151e-03,1.011738628948215091e+00,2.453666838603443921e+03,6.063949530979082514e-01,-2.948438868081017006e+01,6.910438416299786013e+01
7.241691624890025381e-01,9.984035098927767082e-01,-8.702891582146755206e-05,1.015504010709525673e+00,2.439383410779993483e+03,7.294008099535419509e-01,-2.312785522737992139e+01,8.078227876687260789e+01
8.557154750825803902e-01,9.986004112942867827e-01,3.310342763187827143e-03,1.019839869637485741e+00,2.422313657892663286e+03,8.634810185165401331e-01,-1.922787251519093132e+01,8.206537620722927784e+01
9.974057004300354023e-01,9.994149547282397128e-01,8.469538476648205694e-03,1.023759379635859501e+00,2.404694357851989025e+03,1.008420647959555883e+00,-1.158814197221236952e+01,8.352429977594306365e+01
1.148987917649600732e+00,1.001239766356470495e+00,1.589924781712983085e-02,1.027304425257935971e+00,2.385093888042517847e+03,1.163849193955649231e+00,-5.398019624151737972e+00,8.415270992667272765e+01
1.310192618519398167e+00,1.004548299521362598e+00,2.541935350089578535e-02,1.029521190174225831e+00,2.365036833600551290e+03,1.329197925014597770e+00,6.843622180555635204e-01,8.432748753327190627e+01
1.480733186560797776e+00,1.009878066196449486e+00,3.737782555928640532e-02,1.030289171261534076e+00,2.342917777647379353e+03,1.503637637264852556e+00,9.368215926446076480e+00,8.380414620309423412e+01
1.660306406575788429e+00,1.017821930444328560e+00,5.126463383461814932e-02,1.028482335924323809e+00,2.320775144556730538e+03,1.686038737615928929e+00,1.501843141195710452e+01,8.275336945836208713e+01
1.848593003717100558e+00,1.028946784309179296e+00,6.709133879084601404e-02,1.024115969212807231e+00,2.296327443624570151e+03,1.874957972775256998e+00,2.538449253460507293e+01,7.531344833935980887e+01
2.045258211124273195e+00,1.043744653584200766e+00,8.294687741393567959e-02,1.013920224647620660e+00,2.280228700972580100e+03,2.068502046560330321e+00,1.282567685587904549e+01,2.679362136457133658e+01
2.249952365111629327e+00,1.062116599418995389e+00,9.597425189661892841e-02,9.979166247346087371e-01,2.274057757354021760e+03,2.264153347583421461e+00,9.582567143542343402e+00,1.386295920241460777e+01
2.462311526847142495e+00,1.083601409323082798e+00,1.055970204009428481e-01,9.790260574713730568e-01,2.270304961425017609e+03,2.459889809687932249e+00,1.731130382577132032e+00,3.348151792874727306e+00
2.681958129415167758e+00,1.107415527826079993e+00,1.105099720765301968e-01,9.580137961671050251e-01,2.271047639734608765e+03,2.654107660318854922e+00,1.299810596792008610e+00,7.197443447232878544e-01
2.908501649111520759e+00,1.132730002868906904e+00,1.126020309071353309e-01,9.365561104423306693e-01,2.267580297452899686e+03,2.845728032645570504e+00,1.888428964402286070e+01,-4.315812281676155493e+00
3.141539299776681116e+00,1.158851199913888408e+00,1.105626011543276027e-01,9.149757757572891670e-01,2.263224516096388015e+03,3.033992226625463751e+00,4.728007772222532767e-01,-6.638441435230318932e-02
3.380656748932184374e+00,1.184475951541406058e+00,1.032331470369581006e-01,8.955433478560785865e-01,2.265322235227265537e+03,3.218694847595521935e+00,-4.197944751601490054e-02,3.476779420709709134e-01
3.625428854446653304e+00,1.208609655643845260e+00,9.359802255860412423e-02,8.767888412686157817e-01,2.261593043453419796e+03,3.399936116111757833e+00,8.675612499285575652e+00,-1.156669219161879703e+01
3.875420420421477274e+00,1.230480494718300122e+00,8.096171968128565433e-02,8.600032230130165711e-01,2.256540865904310976e+03,3.577881385443446138e+00,1.143205441734299832e+01,-1.894695271623756483e+01
