,Time (yrs),R (AU),Vr (m/s),Vt (m/s),m (kg),theta (rad),T radial (N),T tangential (N)
0,0.0,1.0,473.36010277092265,27417.900222715543,2500.0,0.0,0.3179334042782832,0.3286855092279024
1,0.00038691858327006905,1.000038117764731,463.7081380755802,27418.34405035484,2499.7307236689217,0.00223058900890276,0.3117254082159206,0.27802255719447316
2,0.001296902419560532,1.000124660997593,440.8813004169495,27418.48462560986,2499.1853662938383,0.007476395724805309,0.2968721888337998,0.17400525444443518
3,0.002726650470366489,1.0002518057588003,405.06081623827095,27418.026348263767,2498.4017616384026,0.015717529056042536,0.3180817851678032,0.1886491324253366
4,0.004675420776873752,1.0004079483422235,357.2629846242501,27419.559098644662,2497.10172353628,0.02694887554820748,0.3610386061883179,0.2681917501571235
5,0.007142333284447912,1.0005777678286234,297.488197951206,27422.49570325764,2495.405478834788,0.041165458598011725,0.349521511945665,0.1903209824728959
6,0.010126293104398536,1.000741474094351,224.11977123518832,27422.04053727146,2493.736786355169,0.05835975963546052,0.3110736450545116,0.0398685030753254
7,0.013625980538342033,1.0008744798529847,137.5405178659279,27419.86824908716,2491.9980089524443,0.07852139010349628,0.3307936481070856,0.06188010200941225
8,0.01763984931537132,1.0009494402277401,40.57685706962772,27424.070082402668,2489.545179215525,0.10164324566973702,0.3788907693285204,0.16751515955994659
9,0.022166126575056164,1.0009367050013507,-67.52227554388705,27432.504508260357,2486.704338876563,0.12772284088292413,0.3521122937199022,0.07757170982284109
10,0.027202813398104656,1.0008001961558572,-190.92679818341716,27435.0751579837,2484.065945709866,0.15675167022579917,0.2911257393639506,-0.09663963242545044
11,0.03274768558493912,1.0004968165899413,-329.62402315756447,27435.537263445924,2481.434544689192,0.1887169235533672,0.28291621111029347,-0.09173957145343532
12,0.03879829459022518,0.9999814875929107,-480.21759428977924,27446.598571650266,2478.5245669593933,0.2236183061367994,0.2996632038923478,-0.0006507500321884315
13,0.045351968580461886,0.9992074515346604,-643.6643904682688,27465.82901528915,2475.5692100701644,0.26146826488128394,0.2608071306460123,-0.08306223615489546
14,0.05240581360128519,0.9981193356967936,-824.532315718952,27480.2072586311,2472.2656749770063,0.30227047502086374,0.20424906966629863,-0.24680225650905935
15,0.05995671484836646,0.9966532993379843,-1022.6544769505654,27495.747061143036,2468.415487019954,0.3460251240473065,0.18587622200260556,-0.23530414926605658
16,0.06800133803873543,0.9947437650873822,-1235.1757028203929,27529.940617418506,2465.078820640008,0.3927601833730471,0.18269097050428854,-0.13548536488168506
17,0.07653613088062057,0.9923242720087552,-1461.6075278339997,27580.818956623392,2461.9871695212164,0.4425300738677092,0.15833810487581856,-0.19735773074885476
18,0.08555732464047805,0.9893221270409724,-1704.4969670692237,27631.71085429979,2457.4310573814787,0.49537902840885445,0.12623134882965895,-0.35578105772625485
19,0.09506093580614772,0.9856566760700014,-1964.7726926163346,27690.274426008,2451.688538242361,0.5513485265881309,0.10186389231274381,-0.32789016044474395
20,0.1050427678451872,0.9812426548298618,-2241.729578220253,27781.79942425981,2447.3876113003453,0.6105327360898115,0.07775009144855256,-0.19563381976428912
21,0.115498413057486,0.9759947741124639,-2532.200713928159,27904.052386686973,2443.8363303995297,0.6730765367239062,0.06409281225743638,-0.24686064688976905
22,0.12642325452126554,0.9698299361671404,-2835.346961706746,28033.70492518064,2437.9031039474844,0.7391102183619572,0.048156072953681225,-0.41418811023797775
23,0.13781246813155643,0.9626598688719248,-3153.1101943947347,28181.170779860753,2430.3552965166623,0.8087618278795768,0.025526533180847518,-0.36734319836004986
24,0.14966102473022896,0.9543913627071609,-3484.2799866063892,28383.10469755777,2425.2138303919446,0.8822544375047402,0.0005688081034133495,-0.19017872329521915
25,0.161963692326609,0.9449390719737824,-3822.255326046901,28637.49539105427,2421.611130789015,0.959904225916416,-0.014177583057077996,-0.22465007347085597
26,0.17471503840769204,0.93423079306638,-4164.28245249233,28912.64540048335,2415.1549717865173,1.042009559475407,-0.03421331392107621,-0.3975859544697243
27,0.18790943233692095,0.9221955204882585,-4510.131002545361,29221.935732931684,2406.8853692915172,1.128870673429875,-0.0444537888122771,-0.3323406750448968
28,0.20154104784047067,0.9087745161285545,-4850.665657567899,29614.37470122695,2402.0828028137776,1.220947661660142,-0.03944096775399268,-0.11283138946447083
29,0.21560386557992647,0.8939480231574614,-5172.169790871067,30089.12894476763,2399.911848846217,1.318859408969786,-0.05223345889528769,-0.11257663208153948
30,0.2300916758102262,0.8777277005730986,-5471.982183740659,30608.395371605977,2395.146434727372,1.4232151669476534,-0.1008208145004179,-0.2616796398616044
31,0.24499808112168617,0.8601408292561108,-5741.891176006491,31182.391133794605,2388.4953680102954,1.5346355832276044,-0.09325062091489977,-0.2152917528623937
32,0.2603164992648996,0.8412841856139189,-5953.542248385295,31856.353402872875,2385.0708110932696,1.6539444289647682,-0.03992283812617567,-0.036175973179398135
33,0.2760401660572573,0.821365224417567,-6079.973440832684,32627.327349588137,2384.492516270244,1.7821559429446658,-0.02453024339806547,-0.009926123580244856
34,0.2921621383698103,0.8006741907479443,-6110.734941214026,33462.30806625465,2382.806765311891,1.920276260431527,-0.0817361657663078,-0.058262948346718746
35,0.3086752971931501,0.7795668205144767,-6024.184807317626,34357.507995733424,2380.1841965733033,2.069297772309227,-0.07636554072747542,-0.02759290033946431
36,0.32557235078095587,0.7585579293117212,-5772.173223610372,35308.18332086524,2378.8401696778974,2.230243040902373,-0.021396903030160123,0.012381464798483548
37,0.34284583786981804,0.7383468566537422,-5324.898410668797,36278.29328735895,2378.2703172218603,2.4039990104846463,-0.020417683279080525,0.01773072611645797
38,0.36048813097391713,0.7197524632727961,-4665.473468767515,37222.1007725356,2377.101108527387,2.5910937871776616,-0.035614370546879257,0.0398223346682719
39,0.3784914397531033,0.7037056213580241,-3776.3961766180905,38082.23083863241,2375.4895801139473,2.7915116341491553,-0.027884000977338314,0.050035756134146986
40,0.3968478144528876,0.6912227550145357,-2659.50765958226,38783.57142880232,2373.7012871092293,3.0044145523492505,-0.02070431548888276,0.06351518828624622
41,0.4155491494148258,0.6832916775328121,-1350.9219644771224,39251.4545930696,2371.5618463034566,3.227938257349131,-0.014087343234157251,0.07400831634579187
42,0.434587186655748,0.6807351567837664,82.98575546436965,39417.41897601176,2369.2888888925136,3.4591355331832383,-0.0033876550313063185,0.0734931178280864
43,0.45395351951424984,0.6840684910876788,1546.2538277559652,39245.93399780508,2366.8610932744923,3.694179484792508,0.006485908522596645,0.0920995967995297
44,0.47363959636283415,0.6933966412758632,2937.016962025678,38748.217935264714,2363.140890070968,3.92887413289061,0.02383509601850932,0.14067901446518621
45,0.49363672438406897,0.7084062114606257,4165.610037562397,37964.10878502419,2358.6265407291553,4.159259317688608,0.03763704037008636,0.11820827587863617
46,0.5139360734090889,0.7284048554445431,5158.0840434804195,36941.62870753195,2355.936562351969,4.382007629348198,0.021930898453968072,0.03562203431200553
47,0.5345286798167485,0.7523833910765314,5867.986796745126,35769.59738008177,2355.234878936528,4.594769304321803,0.010378686702241867,0.013091162566501174
48,0.5554054504917041,0.7791913972328598,6300.814719567348,34542.84857311221,2354.3748730947127,4.796374787827292,0.026341663288577944,0.015178165956275535
49,0.5765571668396771,0.8076991452033375,6477.693569788621,33326.56591353328,2353.613941437375,4.986620806318348,0.013974223392615009,0.0025079444135962096
50,0.5979744888581241,0.8368343478147687,6426.786051322886,32165.70515620422,2353.322551447696,5.165953771802551,-0.001983331223642964,-0.001235499981555561
51,0.6196479592605199,0.8656369113763189,6186.175011101874,31095.437840169783,2353.3367969716783,5.335255576310292,-0.0007397072762826526,-0.005572614277598415
52,0.6415680076524264,0.8933074356530343,5800.70875019574,30126.60418249687,2352.4200796939817,5.495627391491041,0.03428222864265088,-0.031172021618488907
53,0.6637249547575114,0.9192049127827333,5300.070710470206,29265.542747691794,2350.3251234638774,5.6482260622892895,0.04823103978764883,-0.059686857808295725
54,0.6861090166916425,0.9427851977475005,4708.094956065358,28505.26239967789,2346.202998155416,5.794191744183734,0.08881229494407723,-0.13364518493634467
55,0.7087103092831751,0.9636055520474966,4043.114834684675,27839.382298651406,2339.2053007083146,5.9345790317108165,0.10254693923755874,-0.1927069758789886
56,0.731518852437524,0.9812552758621461,3307.1949130566936,27275.542136947228,2330.938446317722,6.070408434060389,0.09299278269054573,-0.21453986821702387
57,0.7545245745440922,0.9953470516694612,2511.34852610622,26817.085462726372,2321.726880774464,6.202710662985187,0.09410030700255691,-0.27213787704101944
58,0.7777173169236097,1.0055521069768498,1667.464556761417,26435.56230064703,2308.357030681591,6.332431042214456,0.11439939174008357,-0.4234578055848471
59,0.8010868383139207,1.0115681273353447,772.6880727040178,26129.610582165085,2290.5259119836155,6.460398810846062,0.1038674035267822,-0.4866501723922443
60,0.8246228193922363,1.0130568523176593,-178.7615125320468,25931.91509491298,2271.8636062880305,6.587556118063708,0.09070574122796805,-0.4917114615502222
61,0.8483148673318569,1.0096880472322718,-1181.3434838663045,25855.03376219314,2252.9682096147653,6.7149942100962825,0.06509757208456411,-0.49552750146228897
62,0.8721525203913515,1.001140626637825,-2236.689524682905,25908.474369606625,2234.0627475394645,6.843909170761981,0.029658261663207522,-0.4973477757094088
63,0.896125252534168,0.9871043362931403,-3338.8138140887722,26106.327886013034,2215.0179774501094,6.975657244456343,-0.0004726915163082803,-0.49998594964151766
