2039-02-20 05:18:12.228,2039-05-27 07:18:48.715,2040-12-23 01:11:35.078,2046-01-20 07:34:56.391,97.17185539020709,94.17635960016484,19587.225534547713,-18588.225534547713,71218.64285873671,-70219.64285873671,-96.08375563801908,-575.7449810518333,-1854.2662189014636
2039-03-16 00:46:51.078,2039-05-18 01:11:35.084,2041-01-07 01:11:35.078,2046-02-03 16:20:51.262,95.0000000312386,114.51721899415904,21129.39452682492,-20130.39452682492,46956.93883053025,-45957.93883053025,-63.01717599668566,-599.999999934518,-1853.6314373199782
2039-01-09 01:07:41.650,2039-06-02 01:11:35.078,2041-01-22 01:11:35.078,2046-02-18 12:40:00.659,95.0,100.0649183299511,22826.17164614227,-21827.17164614227,57910.51585093033,-56911.51585093033,-144.00270171454935,-600.0,-1853.4780738569566
2038-12-22 11:58:15.679,2039-06-18 02:32:52.465,2041-02-06 01:11:35.078,2046-03-08 07:44:21.026,95.00000000064492,102.2447912964833,39626.89220960981,-38627.89220960981,56043.76385152172,-55044.76385152172,-177.60737021109895,-598.9435487639128,-1856.272754028939
2039-01-03 01:11:35.079,2039-07-02 01:11:35.078,2041-02-21 01:11:35.078,2046-03-20 19:48:49.889,95.00000000000031,103.33209592769968,51413.86668368767,-50414.86668368767,54620.49262042278,-53621.49262042278,-179.99999999096508,-599.999999995231,-1853.7758658737866
2039-01-18 01:11:35.078,2039-07-17 01:11:35.078,2041-03-08 01:11:35.078,2046-04-03 18:32:21.978,95.00000000225437,100.00988201332528,48099.710680426666,-47100.710680426666,57124.65766098431,-56125.65766098431,-179.999999998693,-599.9999999988027,-1852.722765046728
2039-03-17 02:19:43.009,2039-08-05 12:15:55.036,2041-03-23 01:11:35.078,2046-04-17 09:13:38.371,102.82663098712456,125.30783553110476,51678.26580993993,-50679.26580993993,92272.0651319178,-91273.0651319178,-141.41402808742805,-595.5386578907332,-1851.3347603388002
2039-03-25 00:34:18.927,2039-08-17 20:36:32.982,2041-04-07 01:11:35.078,2046-05-26 10:35:44.813,99.13291865655212,125.81258781347655,40204.90774844891,-39205.90774844891,96282.5201556896,-95283.5201556896,-145.83488489284346,-598.1909964838205,-1875.391779336389
2039-06-14 22:46:36.323,2039-08-31 01:11:36.726,2041-04-22 01:11:35.078,2046-05-19 20:34:42.902,119.99428048369724,120.01372033007094,27058.640800063098,-26059.640800063098,80026.2244408854,-79027.2244408854,-77.10069910647407,-599.9999809257616,-1853.8077294440611
2039-06-29 23:03:19.655,2039-09-15 01:12:42.755,2041-05-07 01:11:35.078,2046-06-03 18:00:19.425,119.98408386208943,120.03823730286065,19036.38097697497,-18037.38097697497,81319.69808217649,-80320.69808217649,-77.08985069525106,-599.9992167025054,-1853.7005132734225
2039-07-15 18:03:46.050,2039-09-30 10:17:37.692,2041-05-22 01:11:35.078,2046-06-17 17:45:06.087,119.9484315120245,120.42423766058519,15455.55590402625,-14456.55590402625,82946.49529761188,-81947.49529761188,-76.67629214954245,-599.6208030844385,-1852.6899422341494
2039-08-17 07:37:39.847,2039-10-23 03:24:20.856,2041-06-06 01:11:35.078,2046-06-28 14:38:47.306,122.52599122632044,128.58268251800175,21496.556611027983,-20497.556611027983,9398.925944448283,-8399.925944448283,-66.82408575243724,-591.9078034937879,-1848.5605581964592
2039-05-03 01:11:35.079,2039-10-30 01:11:35.079,2041-06-21 01:11:35.078,2047-06-20 01:11:35.078,95.0,90.001,80715.42913050264,-79716.42913050264,50204.21669352799,-49205.21669352799,-180.0,-599.999999990514,-2190.0
2040-01-27 03:39:39.989,2040-03-23 09:15:47.380,2041-07-06 01:11:35.078,2046-07-07 18:26:46.697,139.74762356077593,114.66390901769367,79725.917530581,-78726.917530581,50751.47136427469,-49752.47136427469,-56.23341887859267,-469.6637465090223,-1827.7188844767327
2040-02-05 20:34:10.300,2040-04-02 12:34:19.902,2041-07-21 01:11:35.078,2046-08-03 06:34:11.689,121.70850060916173,108.99956704745452,62537.76130225496,-61538.76130225496,36477.937810300005,-35478.937810300005,-56.666777803570746,-474.5258700942104,-1839.224034853447
2040-03-24 20:11:31.425,2040-04-23 03:05:20.065,2041-08-05 01:11:35.078,2046-09-01 15:14:33.686,116.68612992622614,92.27028406314207,45379.84083019813,-44380.84083019813,41864.437770463606,-40865.437770463606,-29.287368527958144,-468.9210070900445,-1853.5854005573744
2040-02-22 15:48:11.106,2040-03-30 11:02:44.752,2041-08-20 01:11:35.078,2046-09-18 16:43:10.681,141.85472230145763,93.63212885305816,68456.77913762894,-67457.77913762894,29657.629113104114,-28658.629113104114,-36.80177831297644,-507.58947136026825,-1855.6469398457623
2040-03-18 15:09:25.361,2040-04-27 12:53:36.009,2041-09-04 01:11:35.078,2046-09-21 02:28:16.891,140.72305971365017,90.00100000006093,35363.86783285034,-34364.86783285034,53702.44699359548,-52703.44699359548,-39.90567879962487,-494.5124892253157,-1843.0532617216127
2039-12-20 04:35:36.987,2040-02-09 05:11:43.542,2041-09-19 01:11:35.078,2046-10-21 11:53:32.143,131.6260891374535,90.00100125951914,40816.072597775266,-39817.072597775266,24067.064588666773,-23068.064588666773,-51.02507586999281,-587.8332353680075,-1858.4457993625256
2039-08-31 08:23:01.798,2040-02-12 01:11:35.078,2041-10-04 01:11:35.078,2047-03-26 17:08:59.287,102.17999671540636,90.00100000030092,8946.220261931434,-7947.220261931434,26961.997359065324,-25962.997359065324,-164.70038518886685,-599.9999999999465,-1999.6648635314639
